"ad_table_id","tabla","nombre_tabla","descripcion_tabla","ad_column_id","columna","nombre_columna","etiqueta","descripcion_columna","ayuda_columna","ad_reference_id","tipo_referencia","longitud","es_clave","es_padre","obligatorio","identificador","traducible","actualizable","logica_solo_lectura","valor_por_defecto","callout","ad_reference_value_id","referencia_valor","regla_validacion","codigo_regla_validacion","columna_sql","secuencia"
539,"A_Asset","Activo","Asset used internally or by customers",8054,"Value","Código","Código","Código para el registro en el formato requerido; debe ser único","Un código le permite a usted un método rápido de encontrar un registro en particular",10,"String",40,"N","N","Y","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",8053,"VersionNo","No. de Versión","No. de Versión","Número de versión",NULL,10,"String",20,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
539,"A_Asset","Activo","Asset used internally or by customers",59258,"InventoryNo","No. Inventario","No. Inventario",NULL,NULL,10,"String",30,"N","N","N","Y","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10
539,"A_Asset","Activo","Asset used internally or by customers",8056,"Name","Nombre","Nombre","Identificador alfanumérico de la entidad.","El nombre de una entidad (registro) se usa como una opción de búsqueda predeterminada adicional al código. El nombre es de hasta 60 caracteres de longitud.",10,"String",60,"N","N","Y","Y","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20
539,"A_Asset","Activo","Asset used internally or by customers",59260,"A_AssetType","Tipo Activo","Tipo Activo",NULL,NULL,10,"String",3,"N","N","N","N","N","Y",NULL,"MFX",NULL,NULL,NULL,NULL,NULL,NULL,30
539,"A_Asset","Activo","Asset used internally or by customers",59259,"A_Asset_Type_ID","Tipo Activo","Tipo Activo",NULL,NULL,19,"Table Direct",10,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30
539,"A_Asset","Activo","Asset used internally or by customers",59255,"A_Asset_Action","Acción Activo","Acción Activo",NULL,NULL,17,"List",2,"N","N","Y","N","N","Y",NULL,"'MD'",NULL,53360,"A_Asset Actions",NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",59253,"A_Asset_Class_ID","Clase Activo","Clase Activo",NULL,NULL,30,"Search",10,"N","N","N","N","N","Y",NULL,NULL,NULL,53358,"A_Asset_Class (all)",NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",55591,"A_Asset_CreateDate","Fecha Creación Activo","Fecha Creación Activo",NULL,NULL,15,"Date",7,"N","N","N","N","N","N",NULL,"@Date@",NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",55592,"A_Asset_RevalDate","Fecha Revaluación Activo","Fecha Revaluación Activo",NULL,NULL,15,"Date",7,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",59254,"A_Asset_Status","Estado Activo","Estado Activo",NULL,NULL,17,"List",2,"N","N","Y","N","N","Y",NULL,"'NW'",NULL,53359,"A_Asset Status",NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",60352,"A_Asset_UU","A_Asset_UU","A_Asset_UU",NULL,NULL,200231,"UUID",36,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",55593,"A_Parent_Asset_ID","ID Activo","ID Activo",NULL,NULL,30,"Search",22,"N","N","N","N","N","Y",NULL,NULL,NULL,53258,"A_Asset_ID",NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",55594,"A_QTY_Current","Cantidad","Cantidad",NULL,NULL,22,"Number",22,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",55595,"A_QTY_Original","Cantidad Original","Cantidad Original",NULL,NULL,22,"Number",22,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",59257,"AssetActivationDate","Fecha Activación","Fecha Activación",NULL,NULL,15,"Date",7,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",59261,"C_Activity_ID","Actividad","Actividad","Actividad de Negocio","Las actividades indican tareas que son ejecutadas en el curso de un negocio; las actividades son usadas para el costeo por actividad (ABC)",19,"Table Direct",10,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",14096,"C_BPartnerSR_ID","Tercero (Repr Comercial)","Tercero (Repr Comercial)","Tercero (Repr Comercial)",NULL,30,"Search",10,"N","N","N","N","N","Y",NULL,NULL,NULL,232,"C_BPartner Vendor or SalesRep",NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",14091,"C_Project_ID","Proyecto","Proyecto","Proyecto Financiero","Un proyecto permite hacer un seguimiento y control interno",30,"Search",10,"N","N","N","N","N","Y",NULL,NULL,NULL,141,"C_Project (No summary)",NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",14845,"LastMaintenanceDate","Último Mantenimiento","Último Mantenimiento","Fecha de Último Mantenimiento",NULL,15,"Date",7,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",14851,"LastMaintenanceNote","Última Nota","Última Nota","Última Nota de Mantenimiento",NULL,10,"String",60,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",14847,"LastMaintenanceUnit","Última Unidad","Última Unidad","Última Unidad de Mantenimiento",NULL,11,"Integer",10,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",14850,"Lease_BPartner_ID","Arrendador","Arrendador","El Tercero que renta o alquila",NULL,30,"Search",10,"N","N","N","N","N","Y",NULL,NULL,NULL,192,"C_BPartner Vendors",NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",14849,"LeaseTerminationDate","Vencimiento del Arrendamiento","Vencimiento del Arrendamiento","Fecha de Vencimiento del Arrendamiento","Última Fecha de Arrendamiento",15,"Date",7,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",59263,"ManufacturedYear","Año Fabricado","Año Fabricado",NULL,NULL,11,"Integer",10,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",59262,"Manufacturer","Manufactura","Manufactura","Manufacturer of the Product","The manufacturer of the Product (used if different from the Business Partner / Vendor)",10,"String",30,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",14285,"M_InOutLine_ID","Línea Entrega / Recibo","Línea Entrega / Recibo","Línea de entrega o documento de recibo.","La línea de Entrega / Recibo indica una línea única en un documento de entrega / recibo",19,"Table Direct",10,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",14846,"NextMaintenenceDate","Siguiente Mantenimiento","Siguiente Mantenimiento","Fecha del Siguiente Mantenimiento",NULL,15,"Date",7,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",14848,"NextMaintenenceUnit","Unidad Siguiente","Unidad Siguiente","Unidad Siguiente de Mantenimiento",NULL,11,"Integer",10,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",59256,"Processed","Procesado","Procesado","El documento ha sido procesado","El cuadro de verificación procesada indica que un documento ha sido procesado",20,"Yes-No",1,"N","N","Y","N","N","Y",NULL,"'N'",NULL,NULL,NULL,NULL,NULL,NULL,NULL
539,"A_Asset","Activo","Asset used internally or by customers",13601,"Qty","Cantidad","Cantidad","Cantidad","La Cantidad indica el número de un producto específico o artículo para este documento",29,"Quantity",22,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53123,"A_Asset_Acct","Cuenta Activo",NULL,55596,"A_Asset_Acct_ID","Cuenta Activo","Cuenta Activo",NULL,NULL,13,"ID",22,"Y","N","Y","Y","N","N",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
53123,"A_Asset_Acct","Cuenta Activo",NULL,55636,"A_Accumdepreciation_Acct","Depreciación Acumulada","Depreciación Acumulada",NULL,NULL,25,"Account",40,"N","N","Y","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53123,"A_Asset_Acct","Cuenta Activo",NULL,55637,"A_Asset_Acct","Cuenta Costo Activo","Cuenta Costo Activo",NULL,NULL,25,"Account",40,"N","N","Y","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
